00:29:52:689  INFO 8492 --- [rpcDispatch_RMROLE_1_4_24] i.s.c.r.p.client.RmUndoLogProcessor      : rm handle undo log process:UndoLogDeleteRequest{resourceId='jdbc:mysql://192.168.50.128:3306/hm-trade', saveDays=7, branchType=AT}
00:29:52:731  WARN 8492 --- [rpcDispatch_RMROLE_1_4_24] io.seata.rm.RMHandlerAT                  : Failed to get dataSourceProxy for delete undolog on jdbc:mysql://192.168.50.128:3306/hm-trade
04:36:44:499  INFO 8492 --- [NettyClientSelector_RMROLE_1_1] i.s.c.r.n.AbstractNettyRemotingClient    : channel [id: 0xa5007c42, L:/192.168.50.1:53668 - R:/192.168.50.128:8099] read idle.
04:36:44:502  INFO 8492 --- [NettyClientSelector_RMROLE_1_1] i.s.core.rpc.netty.NettyPoolableFactory  : will destroy channel:[id: 0xa5007c42, L:/192.168.50.1:53668 - R:/192.168.50.128:8099]
04:36:44:508  INFO 8492 --- [NettyClientSelector_RMROLE_1_1] i.s.c.r.n.AbstractNettyRemotingClient    : ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0xa5007c42, L:/192.168.50.1:53668 - R:/192.168.50.128:8099]) will closed
04:36:44:519  INFO 8492 --- [NettyClientSelector_RMROLE_1_1] i.s.c.r.n.AbstractNettyRemotingClient    : ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0xa5007c42, L:/192.168.50.1:53668 ! R:/192.168.50.128:8099]) will closed
04:36:44:519  INFO 8492 --- [NettyClientSelector_RMROLE_1_1] i.s.c.r.netty.NettyClientChannelManager  : return to pool, rm channel:[id: 0xa5007c42, L:/192.168.50.1:53668 ! R:/192.168.50.128:8099]
04:36:44:520  INFO 8492 --- [NettyClientSelector_RMROLE_1_1] i.s.core.rpc.netty.NettyPoolableFactory  : channel valid false,channel:[id: 0xa5007c42, L:/192.168.50.1:53668 ! R:/192.168.50.128:8099]
04:36:44:520  INFO 8492 --- [NettyClientSelector_RMROLE_1_1] i.s.core.rpc.netty.NettyPoolableFactory  : will destroy channel:[id: 0xa5007c42, L:/192.168.50.1:53668 ! R:/192.168.50.128:8099]
04:36:44:520  INFO 8492 --- [NettyClientSelector_RMROLE_1_1] i.s.c.r.n.AbstractNettyRemotingClient    : ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0xa5007c42, L:/192.168.50.1:53668 ! R:/192.168.50.128:8099]) will closed
04:36:44:520  INFO 8492 --- [NettyClientSelector_RMROLE_1_1] i.s.c.r.n.AbstractNettyRemotingClient    : ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0xa5007c42, L:/192.168.50.1:53668 ! R:/192.168.50.128:8099]) will closed
04:36:44:520  INFO 8492 --- [NettyClientSelector_RMROLE_1_1] i.s.c.r.n.AbstractNettyRemotingClient    : channel inactive: [id: 0xa5007c42, L:/192.168.50.1:53668 ! R:/192.168.50.128:8099]
04:36:44:520  INFO 8492 --- [NettyClientSelector_RMROLE_1_1] i.s.core.rpc.netty.NettyPoolableFactory  : channel valid false,channel:[id: 0xa5007c42, L:/192.168.50.1:53668 ! R:/192.168.50.128:8099]
04:36:44:520  INFO 8492 --- [NettyClientSelector_RMROLE_1_1] i.s.core.rpc.netty.NettyPoolableFactory  : will destroy channel:[id: 0xa5007c42, L:/192.168.50.1:53668 ! R:/192.168.50.128:8099]
04:36:44:520  INFO 8492 --- [NettyClientSelector_RMROLE_1_1] i.s.c.r.n.AbstractNettyRemotingClient    : ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0xa5007c42, L:/192.168.50.1:53668 ! R:/192.168.50.128:8099]) will closed
04:36:44:520  INFO 8492 --- [NettyClientSelector_RMROLE_1_1] i.s.c.r.n.AbstractNettyRemotingClient    : ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0xa5007c42, L:/192.168.50.1:53668 ! R:/192.168.50.128:8099]) will closed
04:36:46:560  INFO 8492 --- [timeoutChecker_2_1] i.s.c.r.netty.NettyClientChannelManager  : will connect to 192.168.50.128:8099
04:36:46:562  INFO 8492 --- [timeoutChecker_2_1] i.s.c.rpc.netty.RmNettyRemotingClient    : RM will register :jdbc:mysql://192.168.50.128:3306/hm-trade
04:36:46:564  INFO 8492 --- [timeoutChecker_2_1] i.s.core.rpc.netty.NettyPoolableFactory  : NettyPool create channel to transactionRole:RMROLE,address:192.168.50.128:8099,msg:< RegisterRMRequest{resourceIds='jdbc:mysql://192.168.50.128:3306/hm-trade', applicationId='order-service', transactionServiceGroup='hmall'} >
04:36:46:609  INFO 8492 --- [timeoutChecker_2_1] i.s.c.rpc.netty.RmNettyRemotingClient    : register RM success. client version:1.5.2, server version:1.5.2,channel:[id: 0xf904df8b, L:/192.168.50.1:55749 - R:/192.168.50.128:8099]
04:36:46:610  INFO 8492 --- [timeoutChecker_2_1] i.s.core.rpc.netty.NettyPoolableFactory  : register success, cost 37 ms, version:1.5.2,role:RMROLE,channel:[id: 0xf904df8b, L:/192.168.50.1:55749 - R:/192.168.50.128:8099]
09:36:36:642  INFO 8492 --- [NettyClientSelector_TMROLE_1_1] i.s.c.r.n.AbstractNettyRemotingClient    : channel [id: 0x35afd373, L:/192.168.50.1:59593 - R:/192.168.50.128:8099] read idle.
09:36:36:649  INFO 8492 --- [NettyClientSelector_TMROLE_1_1] i.s.core.rpc.netty.NettyPoolableFactory  : will destroy channel:[id: 0x35afd373, L:/192.168.50.1:59593 - R:/192.168.50.128:8099]
09:36:36:650  INFO 8492 --- [NettyClientSelector_TMROLE_1_1] i.s.c.r.n.AbstractNettyRemotingClient    : ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0x35afd373, L:/192.168.50.1:59593 - R:/192.168.50.128:8099]) will closed
09:36:36:654  INFO 8492 --- [NettyClientSelector_TMROLE_1_1] i.s.c.r.n.AbstractNettyRemotingClient    : ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0x35afd373, L:/192.168.50.1:59593 ! R:/192.168.50.128:8099]) will closed
09:36:36:654  INFO 8492 --- [NettyClientSelector_TMROLE_1_1] i.s.c.r.netty.NettyClientChannelManager  : return to pool, rm channel:[id: 0x35afd373, L:/192.168.50.1:59593 ! R:/192.168.50.128:8099]
09:36:36:654  INFO 8492 --- [NettyClientSelector_TMROLE_1_1] i.s.core.rpc.netty.NettyPoolableFactory  : channel valid false,channel:[id: 0x35afd373, L:/192.168.50.1:59593 ! R:/192.168.50.128:8099]
09:36:36:654  INFO 8492 --- [NettyClientSelector_TMROLE_1_1] i.s.core.rpc.netty.NettyPoolableFactory  : will destroy channel:[id: 0x35afd373, L:/192.168.50.1:59593 ! R:/192.168.50.128:8099]
09:36:36:654  INFO 8492 --- [NettyClientSelector_TMROLE_1_1] i.s.c.r.n.AbstractNettyRemotingClient    : ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0x35afd373, L:/192.168.50.1:59593 ! R:/192.168.50.128:8099]) will closed
09:36:36:654  INFO 8492 --- [NettyClientSelector_TMROLE_1_1] i.s.c.r.n.AbstractNettyRemotingClient    : ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0x35afd373, L:/192.168.50.1:59593 ! R:/192.168.50.128:8099]) will closed
